,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Jazz,,,,,,,,,,,,,,,,,,,,,
Red,"Pabzzz","Tommy Flanagan, Ron Carter & Tony Williams","Tied & Tickled Trio","Various Artists","The Cinematic Orchestra","Dan Cray Trio","Brous One","Various Artists",,,,,,,,,,,,,,
Orange,"Joey Pecoraro","Living Room","Groove Collective","joeshort","Xploding Plastix","Joe Corfield","Simon Jefferis",,,,,,,,,,,,,,,
Yellow,"BROCKBEATS","Otesla","Esbj�rn Svensson Trio","GurtyBeats","Otesla","Axian","Skalpel",,,,,,,,,,,,,,,
Green,"DJ Cam","Jimmy Dorsey & His Orchestra","Ra Ra Raj","Nils Petter Molv�r",,,,,,,,,,,,,,,,,,
Blue,"halberd","Frank Sinatra",,,,,,,,,,,,,,,,,,,,
Purple,"Hawks","Shigeto","Various Artists","Electric Wire","The Greg Foat Group","Beegie Adair","Alex Tronic","Various Artists","Mujo",,,,,,,,,,,,,
Pink,"Juan Rios","fantompower","Dewaldo","Yelena Eckemoff","Scott Hamilton","Cbakl","emune",,,,,,,,,,,,,,,
Brown,"Lawrence Welk","Count Basie","Benny Goodman","Woody Herman & His Orchestra",,,,,,,,,,,,,,,,,,
Black,"Nina Simone","Tony Bennett","Welshly Arms",,,,,,,,,,,,,,,,,,,
White,"Stan Getz","moow","Bill Evans","St Germain","Etta James",,,,,,,,,,,,,,,,,
Beige,,,,,,,,,,,,,,,,,,,,,,
Gray,"Dinah Washington","Art Pepper","Alice Babs","Harry Connick, Jr.","Dean Martin","Ann Hampton Callaway","John Tesh","Lionel Hampton","Count Basie","Artie Shaw","Buddy Rich","Glenn Miller",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,K-Pop,,,,,,,,,,,,,,,,,,,,,
Red,"TAEMIN","Monsta X",,,,,,,,,,,,,,,,,,,,
Orange,,,,,,,,,,,,,,,,,,,,,,
Yellow,,,,,,,,,,,,,,,,,,,,,,
Green,,,,,,,,,,,,,,,,,,,,,,
Blue,"KARD","EXO",,,,,,,,,,,,,,,,,,,,
Purple,"BLACKPINK","TWICE",,,,,,,,,,,,,,,,,,,,
Pink,"BLACKPINK","Wanna One","TWICE",,,,,,,,,,,,,,,,,,,
Brown,,,,,,,,,,,,,,,,,,,,,,
Black,"Monsta X","KARD","EXO",,,,,,,,,,,,,,,,,,,
White,"Chanyeol","EXO","IU","WINNER","EXO",,,,,,,,,,,,,,,,,
Beige,,,,,,,,,,,,,,,,,,,,,,
Gray,"Henry","NCT 127","KARD","Epik High","SUNMI","PENTAGON","SEVENTEEN","SEVENTEEN","GOT7","KARD","Hyuna","Eddy Kim","EXID","Red Velvet","Super Junior","Imagine Dragons","Red Velvet","Wanna One",,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Pop,,,,,,,,,,,,,,,,,,,,,
