,Rock,,,,,,,,,,,,,,,,,,,,,,,
Green,"https://i.scdn.co/image/3a9694930e367236d22dc3059cd81df08a767769","https://i.scdn.co/image/845db84c798401f4f4d141aa1e1a5d7ad8df2aa0","https://i.scdn.co/image/754cd74243586dff71a212554eaef61a10a8b3a3","https://i.scdn.co/image/54ae81bff27a1979815d40846c763431d872b680",,,,,,,,,,,,,,,,,,,,
Blue,"https://i.scdn.co/image/ac40569e12ae690607a22b41eb77e6681a9f5155","https://i.scdn.co/image/271fc4b3c6f97013399bc0bf8d1507b12ddb30d9","https://i.scdn.co/image/137924a5aae930cf1baae2790deacc36dca8225d","https://i.scdn.co/image/a0779f588d1f1f50921a083f5a1fc4217f0ddf7d",,,,,,,,,,,,,,,,,,,,
Purple,"https://i.scdn.co/image/1109a20e0571e77d029967e5c28f7b93b8f3db44",,,,,,,,,,,,,,,,,,,,,,,
Pink,"https://i.scdn.co/image/421c9ed5c525deab1f57e7ebac6fb295db1a5f9f","https://i.scdn.co/image/229c6e3d4c3fb080e4437e5cc4b0158ee438799d","https://i.scdn.co/image/abead3a0660539a884365eaa08ec1125228e63aa",,,,,,,,,,,,,,,,,,,,,
Brown,"https://i.scdn.co/image/50265274d7b52b58a830b92ec9f70dfc91e15234","https://i.scdn.co/image/cf4e1b21494f0d6b6c655cfd8b060f6c9e1d6c54","https://i.scdn.co/image/b88816a7bcea0f4b509ec57e298de88478521da5",,,,,,,,,,,,,,,,,,,,,
Black,"https://i.scdn.co/image/b3b97a6eef240a7b2214eff1a83901bd6e31f839",,,,,,,,,,,,,,,,,,,,,,,
White,"https://i.scdn.co/image/08038c1b5a926d11800d007dfb726418b5ba0dfb","https://i.scdn.co/image/7ec6459dc45401a53df009d52143e29277c5278e",,,,,,,,,,,,,,,,,,,,,,
Beige,"https://i.scdn.co/image/f9eabf58e2f22160e56deb26131455d14cb8c853",,,,,,,,,,,,,,,,,,,,,,,
Gray,"https://i.scdn.co/image/c34cb2d0fd542c10b64064bbc32cc48a4b494153","https://i.scdn.co/image/c04115c17ea91f6863cfd8fa9876c7a66fc87a8f","https://i.scdn.co/image/19f073cb51144a11f4275133f1cc0bfc8990a770","https://i.scdn.co/image/2251d93f13d12ed6cc066b5177db7cdac572a7ed","https://i.scdn.co/image/fec431f5dce53e6f754c4f0b3ac7d31153dab712","https://i.scdn.co/image/894b5d7bba1af9dde7d27725448ecd4c6c0d515f","https://i.scdn.co/image/846119de70309ac54a9ea932fb596f1b56cc5de3","https://i.scdn.co/image/8cf441e9ba44df92f902ce23143d6f7fc7e2986e","https://i.scdn.co/image/b0a0cf3d038a263d8f2b2b75d267352e4737c4b4","https://i.scdn.co/image/9bda5a241ee5cc9b81a2e7475c02658ac68912e2","https://i.scdn.co/image/101e2e10c3acff9aa410b2d76b0b2594c9a3b20c","https://i.scdn.co/image/d75fe8bf17aaca2c2bd99da55d01309145dab8d4","https://i.scdn.co/image/5119da78f3a3a6a3a25e8e6dcb3964c3681907dc","https://i.scdn.co/image/b14852d3e663025db365fab8125d06a7fd01b30b","https://i.scdn.co/image/e10a7d0572569ee5ec9159ed03c79a8b61b308ec","https://i.scdn.co/image/938a4a1b809381607f6aef8824ca65f43458cc05","https://i.scdn.co/image/cd663f4fcf6f0ce290a085d8b337a055aac7ac72","https://i.scdn.co/image/ab030a48ebad358694a79f7263678d33c41470e1","https://i.scdn.co/image/2139fe633e640d34928387ba58baa85fc97c3524","https://i.scdn.co/image/dc9e9e23fc7b08ab90efe307f66e297a8c1e0e19","https://i.scdn.co/image/c923da59644c694ab635340d1b4d31b5fd362bd8",,,
,,,,,,,,,,,,,,,,,,,,,,,,
