,Red,Orange,Yellow,Green,Blue,Purple,Pink,Brown,Black,White,Beige,Gray
,,,,,,,,,,,,Stephanie Mills
,,,,,,,,,,,,
Reggae,Delroy Wilson,,,Bob Marley & The Wailers,,,,Ini Kamoze,Alborosie,Bob Marley & The Wailers,Protoje,Junior Kelly
,Rita Marley,,,Gregory Isaacs,,,,Pablo Moses,,,Alborosie,Gregory Isaacs
,,,,Israel Vibration,,,,Inner Circle,,,,Damian Marley
,,,,Bob Marley & The Wailers,,,,Ziggy Marley,,,,Bob Marley & The Wailers
,,,,Toots & The Maytals,,,,,,,,Damian Marley
,,,,Stephen Marley,,,,,,,,UB40
,,,,,,,,,,,,UB40
,,,,,,,,,,,,Ziggy Marley & The Melody Makers
,,,,,,,,,,,,Steel Pulse
,,,,,,,,,,,,Steel Pulse
,,,,,,,,,,,,John Holt
,,,,,,,,,,,,Alpha Blondy
,,,,,,,,,,,,Jacob Miller
,,,,,,,,,,,,Wayne Wade
,,,,,,,,,,,,Max Romeo
,,,,,,,,,,,,Max Romeo
,,,,,,,,,,,,Bob Marley & The Wailers
,,,,,,,,,,,,Toots & The Maytals
,,,,,,,,,,,,Barrington Levy
,,,,,,,,,,,,
Metal,,,,Marilyn Manson,Fear Factory,,,Judas Priest,Rage Against The Machine,10 Years,,Five Finger Death Punch
,,,,Korn,System Of A Down,,,Korn,Diamond Head,,,Audioslave
,,,,Megadeth,Metallica,,,Dio,Helloween,,,Slayer
,,,,Five Finger Death Punch,,,,Rage Against The Machine,Limp Bizkit,,,Disturbed
,,,,Megadeth,,,,,System Of A Down,,,Avenged Sevenfold
,,,,,,,,,Crazy Town,,,Limp Bizkit
,,,,,,,,,Testament,,,Fozzy
,,,,,,,,,Volbeat,,,Judas Priest
,,,,,,,,,A Perfect Circle,,,Rage Against The Machine
,,,,,,,,,All That Remains,,,Anthrax
,,,,,,,,,Sepultura,,,Marilyn Manson
,,,,,,,,,Sepultura,,,Limp Bizkit
,,,,,,,,,Metallica,,,Sodom
,,,,,,,,,Rammstein,,,Pantera
,,,,,,,,,Lamb of God,,,Dio
,,,,,,,,,Drowning Pool,,,Theory of a Deadman
,,,,,,,,,Metallica,,,Rob Zombie
,,,,,,,,,Slipknot,,,System Of A Down
,,,,,,,,,Helloween,,,Papa Roach
,,,,,,,,,Judas Priest,,,Slipknot
,,,,,,,,,Killswitch Engage,,,Stone Sour
,,,,,,,,,,,,
Latin,Don Omar,,,De La Ghetto,CNCO,Daddy Yankee,Karol G,Enrique Iglesias,Wisin,Luis Fonsi,Jesse & Joy,Luis Fonsi
,,,,,Maluma,,,Sebastian Yatra,Zion & Lennox,Maite Perroni,Shakira,Don Omar
,,,,,Alexis y Fido,,,Sie7e,Valentino,Bomba Estéreo,Carlos Vives,CNCO
,,,,,Gente De Zona,,,Thalía,Reykon,Chino & Nacho,,Joey MonBeigea
,,,,,J Balvin,,,Bacilos,Oscar D'León,Ozuna,,Matisse
,,,,,Danny Ocean,,,Paulina Rubio,Wisin,,,IAmChino
,,,,,J Balvin,,,Romeo Santos,Pitbull,,,Chayanne
,,,,,,,,Natalia Lafourcade,Don Omar,,,CNCO
,,,,,,,,,Romeo Santos,,,Abraham Mateo
,,,,,,,,,Nicky Jam,,,Nicky Jam
,,,,,,,,,,,,Gente De Zona
,,,,,,,,,,,,Yandel
,,,,,,,,,,,,Juanes
,,,,,,,,,,,,Piso 21
,,,,,,,,,,,,Carlos Vives
,,,,,,,,,,,,Nacho
,,,,,,,,,,,,Luis Fonsi
,,,,,,,,,,,,J Balvin
,,,,,,,,,,,,Maluma
,,,,,,,,,,,,Ricky Martin
,,,,,,,,,,,,Jacob Forever
